INPUT:string1	INPUT:string2	OUTPUT:length	GOLDEN:length	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
EMOUSGYMFHAU	UDUGLTMHSTLLJBJDVRWRUW	3				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6e80ab55c42a0d8ee26	00027a3e09--6516f36d15b13a5af60539db	00027a3e09--6516f6e80ab55c42a0d8ee26	00027a3e09--6516f6e80ab55c42a0d8ee23	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:10:16.470	2023-09-29T16:11:25.168	2023-09-29T16:11:25.168	0.0290000000
YCUBNJ	YCYXBVJ	4	4			https://platform.toloka.ai/task/41565705/00027a3e09--6516f6e80ab55c42a0d8ee26	00027a3e09--6516f3589ed8a304702aa861	00027a3e09--6516f6e80ab55c42a0d8ee26	00027a3e09--6516f6e80ab55c42a0d8ee23	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:10:16.470	2023-09-29T16:11:25.168	2023-09-29T16:11:25.168	0.0290000000
XHEAPARXVBGSTXIMHZIAUCWTYPTKA	YAXYNWFTHWDYMITSOAOVFEBH	5				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6e80ab55c42a0d8ee26	00027a3e09--6516f36d15b13a5af60539ad	00027a3e09--6516f6e80ab55c42a0d8ee26	00027a3e09--6516f6e80ab55c42a0d8ee23	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:10:16.470	2023-09-29T16:11:25.168	2023-09-29T16:11:25.168	0.0290000000
JOU	FQJMCXUN	2	2			https://platform.toloka.ai/task/41565705/00027a3e09--6516f6fbbded9655b67f5acd	00027a3e09--6516f3589ed8a304702aa863	00027a3e09--6516f6fbbded9655b67f5acd	00027a3e09--6516f6fbbded9655b67f5aca	21f3bdedd915ab667ee888b890508534	APPROVED	2023-09-29T16:10:35.490	2023-09-29T16:15:05.247	2023-09-29T16:15:05.247	0.0290000000
ISOGEVZOTTUQDOCK	BZGXQTGWLECXUEZPVWIKQILONSZ	5				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6fbbded9655b67f5acd	00027a3e09--6516f36d15b13a5af6053a41	00027a3e09--6516f6fbbded9655b67f5acd	00027a3e09--6516f6fbbded9655b67f5aca	21f3bdedd915ab667ee888b890508534	APPROVED	2023-09-29T16:10:35.490	2023-09-29T16:15:05.247	2023-09-29T16:15:05.247	0.0290000000
URJPNRMUAOWXACQXMYGLOEXGUEMN	WVUTRYGKPCYDNIDXQDBOHEGRKWUUVJHEJWTVW	11				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6fbbded9655b67f5acd	00027a3e09--6516f36c15b13a5af6053986	00027a3e09--6516f6fbbded9655b67f5acd	00027a3e09--6516f6fbbded9655b67f5aca	21f3bdedd915ab667ee888b890508534	APPROVED	2023-09-29T16:10:35.490	2023-09-29T16:15:05.247	2023-09-29T16:15:05.247	0.0290000000
KJ	ZEXQQHFXWEFJDHRFCOP	1	1			https://platform.toloka.ai/task/41565705/00027a3e09--6516f6fc4dc98f156eb043a2	00027a3e09--6516f3589ed8a304702aa873	00027a3e09--6516f6fc4dc98f156eb043a2	00027a3e09--6516f6fc4dc98f156eb043a0	3991dd4688a05a10333c4bbc9947b636	APPROVED	2023-09-29T16:10:36.934	2023-09-29T16:14:59.952	2023-09-29T16:14:59.952	0.0290000000
VOZQQWWGBQTRGPYMFVNZTAKMKD	OJTOVOJTNNPFOQASHISCNEUI	5				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6fc4dc98f156eb043a2	00027a3e09--6516f36d15b13a5af60539e7	00027a3e09--6516f6fc4dc98f156eb043a2	00027a3e09--6516f6fc4dc98f156eb043a0	3991dd4688a05a10333c4bbc9947b636	APPROVED	2023-09-29T16:10:36.934	2023-09-29T16:14:59.952	2023-09-29T16:14:59.952	0.0290000000
THJCCMTNRRHSXHVTKNMSMPGDQ	HWBSEXQGWRATTTASCYOQVDNI	5				https://platform.toloka.ai/task/41565705/00027a3e09--6516f6fc4dc98f156eb043a2	00027a3e09--6516f36c15b13a5af605398c	00027a3e09--6516f6fc4dc98f156eb043a2	00027a3e09--6516f6fc4dc98f156eb043a0	3991dd4688a05a10333c4bbc9947b636	APPROVED	2023-09-29T16:10:36.934	2023-09-29T16:14:59.952	2023-09-29T16:14:59.952	0.0290000000
GHTCIFNPDZDDRZEGUAGAONLYVEH	IJKZ	2				https://platform.toloka.ai/task/41565705/00027a3e09--6516f72e0ab55c42a0d8f967	00027a3e09--6516f36d15b13a5af60539ff	00027a3e09--6516f72e0ab55c42a0d8f967	00027a3e09--6516f72e0ab55c42a0d8f965	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:11:26.770	2023-09-29T16:12:03.003	2023-09-29T16:12:03.003	0.0290000000
MRSUMK	FSZUKDW	3	3			https://platform.toloka.ai/task/41565705/00027a3e09--6516f72e0ab55c42a0d8f967	00027a3e09--6516f3589ed8a304702aa857	00027a3e09--6516f72e0ab55c42a0d8f967	00027a3e09--6516f72e0ab55c42a0d8f965	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:11:26.770	2023-09-29T16:12:03.003	2023-09-29T16:12:03.003	0.0290000000
DMQDEMSXYTXFTALFPQCPANRVXEYXPXQNOGMD	EWYOB	3				https://platform.toloka.ai/task/41565705/00027a3e09--6516f72e0ab55c42a0d8f967	00027a3e09--6516f36d15b13a5af60539b1	00027a3e09--6516f72e0ab55c42a0d8f967	00027a3e09--6516f72e0ab55c42a0d8f965	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:11:26.770	2023-09-29T16:12:03.003	2023-09-29T16:12:03.003	0.0290000000
VOZQQWWGBQTRGPYMFVNZTAKMKD	OJTOVOJTNNPFOQASHISCNEUI	11				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7314dc98f156eb04ce3	00027a3e09--6516f36d15b13a5af60539e7	00027a3e09--6516f7314dc98f156eb04ce3	00027a3e09--6516f7314dc98f156eb04cdb	55afaae2a778b0a81be24e7c39608745	APPROVED	2023-09-29T16:11:29.621	2023-09-29T16:15:13.402	2023-09-29T16:15:13.402	0.0290000000
URJPNRMUAOWXACQXMYGLOEXGUEMN	WVUTRYGKPCYDNIDXQDBOHEGRKWUUVJHEJWTVW	25				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7314dc98f156eb04ce3	00027a3e09--6516f36c15b13a5af6053986	00027a3e09--6516f7314dc98f156eb04ce3	00027a3e09--6516f7314dc98f156eb04cdb	55afaae2a778b0a81be24e7c39608745	APPROVED	2023-09-29T16:11:29.621	2023-09-29T16:15:13.402	2023-09-29T16:15:13.402	0.0290000000
KDTIKI	NQWDRRETSY	2	2			https://platform.toloka.ai/task/41565705/00027a3e09--6516f7314dc98f156eb04ce3	00027a3e09--6516f3589ed8a304702aa84f	00027a3e09--6516f7314dc98f156eb04ce3	00027a3e09--6516f7314dc98f156eb04cdb	55afaae2a778b0a81be24e7c39608745	APPROVED	2023-09-29T16:11:29.621	2023-09-29T16:15:13.402	2023-09-29T16:15:13.402	0.0290000000
QDADC	WGUMJPMWVEKGML	0	0			https://platform.toloka.ai/task/41565705/00027a3e09--6516f75402bac216571e87ae	00027a3e09--6516f3589ed8a304702aa855	00027a3e09--6516f75402bac216571e87ae	00027a3e09--6516f75402bac216571e87aa	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:12:04.484	2023-09-29T16:13:33.965	2023-09-29T16:13:33.965	0.0290000000
RDZCNGSBVOPODNPBAYRWRJNYAHGXQKURGELIZN	VZXYLTFIVSZZKJLKIJWDTQTOY	5				https://platform.toloka.ai/task/41565705/00027a3e09--6516f75402bac216571e87ae	00027a3e09--6516f36d15b13a5af60539c9	00027a3e09--6516f75402bac216571e87ae	00027a3e09--6516f75402bac216571e87aa	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:12:04.484	2023-09-29T16:13:33.965	2023-09-29T16:13:33.965	0.0290000000
URJPNRMUAOWXACQXMYGLOEXGUEMN	WVUTRYGKPCYDNIDXQDBOHEGRKWUUVJHEJWTVW	6				https://platform.toloka.ai/task/41565705/00027a3e09--6516f75402bac216571e87ae	00027a3e09--6516f36c15b13a5af6053986	00027a3e09--6516f75402bac216571e87ae	00027a3e09--6516f75402bac216571e87aa	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:12:04.484	2023-09-29T16:13:33.965	2023-09-29T16:13:33.965	0.0290000000
MWFDUIHKJSRYUDTDBLXTNXZEMBC	BCF	2				https://platform.toloka.ai/task/41565705/00027a3e09--6516f75b495d233df33d437f	00027a3e09--6516f36d15b13a5af60539bb	00027a3e09--6516f75b495d233df33d437f	00027a3e09--6516f75b495d233df33d437d	9dec9ff7db0fc449f6d6f07a673ff5d6	APPROVED	2023-09-29T16:12:11.407	2023-09-29T16:13:46.797	2023-09-29T16:13:46.797	0.0290000000
ZIZVLMTSIKTS	LAVHXHLTQADHYPJCWUMSJ	2				https://platform.toloka.ai/task/41565705/00027a3e09--6516f75b495d233df33d437f	00027a3e09--6516f36d15b13a5af6053a2c	00027a3e09--6516f75b495d233df33d437f	00027a3e09--6516f75b495d233df33d437d	9dec9ff7db0fc449f6d6f07a673ff5d6	APPROVED	2023-09-29T16:12:11.407	2023-09-29T16:13:46.797	2023-09-29T16:13:46.797	0.0290000000
VXHECJ	PHBECX	3	3			https://platform.toloka.ai/task/41565705/00027a3e09--6516f75b495d233df33d437f	00027a3e09--6516f3589ed8a304702aa859	00027a3e09--6516f75b495d233df33d437f	00027a3e09--6516f75b495d233df33d437d	9dec9ff7db0fc449f6d6f07a673ff5d6	APPROVED	2023-09-29T16:12:11.407	2023-09-29T16:13:46.797	2023-09-29T16:13:46.797	0.0290000000
MWFDUIHKJSRYUDTDBLXTNXZEMBC	BCF	3				https://platform.toloka.ai/task/41565705/00027a3e09--6516f76d15b13a5af605f38a	00027a3e09--6516f36d15b13a5af60539bb	00027a3e09--6516f76d15b13a5af605f38a	00027a3e09--6516f76d15b13a5af605f388	d13c8571dffcc8a005f62138f0251591	APPROVED	2023-09-29T16:12:29.749	2023-09-29T16:13:40.013	2023-09-29T16:13:40.013	0.0290000000
CBVTWF	XRYXVWBDI	3	2			https://platform.toloka.ai/task/41565705/00027a3e09--6516f76d15b13a5af605f38a	00027a3e09--6516f3589ed8a304702aa84d	00027a3e09--6516f76d15b13a5af605f38a	00027a3e09--6516f76d15b13a5af605f388	d13c8571dffcc8a005f62138f0251591	APPROVED	2023-09-29T16:12:29.749	2023-09-29T16:13:40.013	2023-09-29T16:13:40.013	0.0290000000
ETZWYRWEKQPJLU	OEOPDQRI	4				https://platform.toloka.ai/task/41565705/00027a3e09--6516f76d15b13a5af605f38a	00027a3e09--6516f36d15b13a5af60539f5	00027a3e09--6516f76d15b13a5af605f38a	00027a3e09--6516f76d15b13a5af605f388	d13c8571dffcc8a005f62138f0251591	APPROVED	2023-09-29T16:12:29.749	2023-09-29T16:13:40.013	2023-09-29T16:13:40.013	0.0290000000
VOZQQWWGBQTRGPYMFVNZTAKMKD	OJTOVOJTNNPFOQASHISCNEUI	3				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7b3e4173738521dfed3	00027a3e09--6516f36d15b13a5af60539e7	00027a3e09--6516f7b3e4173738521dfed3	00027a3e09--6516f7b3e4173738521dfed1	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:13:39.169	2023-09-29T16:14:51.385	2023-09-29T16:14:51.385	0.0290000000
BVRVYG	BRVXG	4	4			https://platform.toloka.ai/task/41565705/00027a3e09--6516f7b3e4173738521dfed3	00027a3e09--6516f3589ed8a304702aa86d	00027a3e09--6516f7b3e4173738521dfed3	00027a3e09--6516f7b3e4173738521dfed1	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:13:39.169	2023-09-29T16:14:51.385	2023-09-29T16:14:51.385	0.0290000000
QYECGRWLA	JTPERUNJKMQOANAOCHHNSDGSZLHR	2				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7b3e4173738521dfed3	00027a3e09--6516f36d15b13a5af60539df	00027a3e09--6516f7b3e4173738521dfed3	00027a3e09--6516f7b3e4173738521dfed1	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:13:39.169	2023-09-29T16:14:51.385	2023-09-29T16:14:51.385	0.0290000000
YCUBNJ	YCYXBVJ	4	4			https://platform.toloka.ai/task/41565705/00027a3e09--6516f7bce4173738521e0083	00027a3e09--6516f3589ed8a304702aa861	00027a3e09--6516f7bce4173738521e0083	00027a3e09--6516f7bce4173738521e0081	9dec9ff7db0fc449f6d6f07a673ff5d6	APPROVED	2023-09-29T16:13:48.699	2023-09-29T16:17:12.900	2023-09-29T16:17:12.900	0.0290000000
QATVTRSZYCSGMESCZCOMDLYOITFSLCCICRDAP	VOKNBYKOQRJSKAL	4				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7bce4173738521e0083	00027a3e09--6516f36d15b13a5af60539c7	00027a3e09--6516f7bce4173738521e0083	00027a3e09--6516f7bce4173738521e0081	9dec9ff7db0fc449f6d6f07a673ff5d6	APPROVED	2023-09-29T16:13:48.699	2023-09-29T16:17:12.900	2023-09-29T16:17:12.900	0.0290000000
VOZQQWWGBQTRGPYMFVNZTAKMKD	OJTOVOJTNNPFOQASHISCNEUI	6				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7bce4173738521e0083	00027a3e09--6516f36d15b13a5af60539e7	00027a3e09--6516f7bce4173738521e0083	00027a3e09--6516f7bce4173738521e0081	9dec9ff7db0fc449f6d6f07a673ff5d6	APPROVED	2023-09-29T16:13:48.699	2023-09-29T16:17:12.900	2023-09-29T16:17:12.900	0.0290000000
BVRVYG	BRVXG	3	4			https://platform.toloka.ai/task/41565705/00027a3e09--6516f7d88879a44e7026467d	00027a3e09--6516f3589ed8a304702aa86d	00027a3e09--6516f7d88879a44e7026467d	00027a3e09--6516f7d88879a44e70264677	62785e14cb10364f66f2e57711b7a22f	APPROVED	2023-09-29T16:14:16.523	2023-09-29T16:15:39.042	2023-09-29T16:15:39.042	0.0290000000
ZIZVLMTSIKTS	LAVHXHLTQADHYPJCWUMSJ	6				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7d88879a44e7026467d	00027a3e09--6516f36d15b13a5af6053a2c	00027a3e09--6516f7d88879a44e7026467d	00027a3e09--6516f7d88879a44e70264677	62785e14cb10364f66f2e57711b7a22f	APPROVED	2023-09-29T16:14:16.523	2023-09-29T16:15:39.042	2023-09-29T16:15:39.042	0.0290000000
HNPUSKVDLLLKOS	VQJSBYODNEITFC	7				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7d88879a44e7026467d	00027a3e09--6516f36c15b13a5af6053978	00027a3e09--6516f7d88879a44e7026467d	00027a3e09--6516f7d88879a44e70264677	62785e14cb10364f66f2e57711b7a22f	APPROVED	2023-09-29T16:14:16.523	2023-09-29T16:15:39.042	2023-09-29T16:15:39.042	0.0290000000
CLYUXYBX	JSCLYUY	5	5			https://platform.toloka.ai/task/41565705/00027a3e09--6516f7de495d233df33d63c4	00027a3e09--6516f3589ed8a304702aa86b	00027a3e09--6516f7de495d233df33d63c4	00027a3e09--6516f7de495d233df33d63bd	d22ad0df983f4e7185aef69b171aea86	APPROVED	2023-09-29T16:14:22.887	2023-09-29T16:17:28.106	2023-09-29T16:17:28.106	0.0290000000
ZIZVLMTSIKTS	LAVHXHLTQADHYPJCWUMSJ	5				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7de495d233df33d63c4	00027a3e09--6516f36d15b13a5af6053a2c	00027a3e09--6516f7de495d233df33d63c4	00027a3e09--6516f7de495d233df33d63bd	d22ad0df983f4e7185aef69b171aea86	APPROVED	2023-09-29T16:14:22.887	2023-09-29T16:17:28.106	2023-09-29T16:17:28.106	0.0290000000
THJCCMTNRRHSXHVTKNMSMPGDQ	HWBSEXQGWRATTTASCYOQVDNI	6				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7de495d233df33d63c4	00027a3e09--6516f36c15b13a5af605398c	00027a3e09--6516f7de495d233df33d63c4	00027a3e09--6516f7de495d233df33d63bd	d22ad0df983f4e7185aef69b171aea86	APPROVED	2023-09-29T16:14:22.887	2023-09-29T16:17:28.106	2023-09-29T16:17:28.106	0.0290000000
VOZQQWWGBQTRGPYMFVNZTAKMKD	OJTOVOJTNNPFOQASHISCNEUI	4				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7e7827c067dd034075e	00027a3e09--6516f36d15b13a5af60539e7	00027a3e09--6516f7e7827c067dd034075e	00027a3e09--6516f7e6827c067dd034075c	f61f54f806340f8fbe22fc0fbed63a78	APPROVED	2023-09-29T16:14:31.030	2023-09-29T16:17:28.382	2023-09-29T16:17:28.382	0.0290000000
CBVTWF	XRYXVWBDI	1	2			https://platform.toloka.ai/task/41565705/00027a3e09--6516f7e7827c067dd034075e	00027a3e09--6516f3589ed8a304702aa84d	00027a3e09--6516f7e7827c067dd034075e	00027a3e09--6516f7e6827c067dd034075c	f61f54f806340f8fbe22fc0fbed63a78	APPROVED	2023-09-29T16:14:31.030	2023-09-29T16:17:28.382	2023-09-29T16:17:28.382	0.0290000000
ZIZVLMTSIKTS	LAVHXHLTQADHYPJCWUMSJ	3				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7e7827c067dd034075e	00027a3e09--6516f36d15b13a5af6053a2c	00027a3e09--6516f7e7827c067dd034075e	00027a3e09--6516f7e6827c067dd034075c	f61f54f806340f8fbe22fc0fbed63a78	APPROVED	2023-09-29T16:14:31.030	2023-09-29T16:17:28.382	2023-09-29T16:17:28.382	0.0290000000
SCTDTRGPRIWUUYGBVQYLGGIQ	KPJLPAD	2				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7fd17aed1610eff5c9e	00027a3e09--6516f36d15b13a5af60539cb	00027a3e09--6516f7fd17aed1610eff5c9e	00027a3e09--6516f7fd17aed1610eff5c96	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:14:53.084	2023-09-29T16:15:50.018	2023-09-29T16:15:50.018	0.0290000000
NGFUX	NQGUX	4	4			https://platform.toloka.ai/task/41565705/00027a3e09--6516f7fd17aed1610eff5c9e	00027a3e09--6516f3589ed8a304702aa85f	00027a3e09--6516f7fd17aed1610eff5c9e	00027a3e09--6516f7fd17aed1610eff5c96	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:14:53.084	2023-09-29T16:15:50.018	2023-09-29T16:15:50.018	0.0290000000
WMIJETOPDXRXLHLLISPKOIQVMDSVUMF	OHFHUWTYZPK	3				https://platform.toloka.ai/task/41565705/00027a3e09--6516f7fd17aed1610eff5c9e	00027a3e09--6516f36d15b13a5af60539f9	00027a3e09--6516f7fd17aed1610eff5c9e	00027a3e09--6516f7fd17aed1610eff5c96	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T16:14:53.084	2023-09-29T16:15:50.018	2023-09-29T16:15:50.018	0.0290000000
CTXMKP	CTAVMK	4	4			https://platform.toloka.ai/task/41565705/00027a3e09--6516f80c15b13a5af6060e44	00027a3e09--6516f3589ed8a304702aa85d	00027a3e09--6516f80c15b13a5af6060e44	00027a3e09--6516f80c15b13a5af6060e42	21f3bdedd915ab667ee888b890508534	APPROVED	2023-09-29T16:15:08.807	2023-09-29T16:16:30.982	2023-09-29T16:16:30.982	0.0290000000
THJCCMTNRRHSXHVTKNMSMPGDQ	HWBSEXQGWRATTTASCYOQVDNI	6				https://platform.toloka.ai/task/41565705/00027a3e09--6516f80c15b13a5af6060e44	00027a3e09--6516f36c15b13a5af605398c	00027a3e09--6516f80c15b13a5af6060e44	00027a3e09--6516f80c15b13a5af6060e42	21f3bdedd915ab667ee888b890508534	APPROVED	2023-09-29T16:15:08.807	2023-09-29T16:16:30.982	2023-09-29T16:16:30.982	0.0290000000
ZIZVLMTSIKTS	LAVHXHLTQADHYPJCWUMSJ	4				https://platform.toloka.ai/task/41565705/00027a3e09--6516f80c15b13a5af6060e44	00027a3e09--6516f36d15b13a5af6053a2c	00027a3e09--6516f80c15b13a5af6060e44	00027a3e09--6516f80c15b13a5af6060e42	21f3bdedd915ab667ee888b890508534	APPROVED	2023-09-29T16:15:08.807	2023-09-29T16:16:30.982	2023-09-29T16:16:30.982	0.0290000000
HNPUSKVDLLLKOS	VQJSBYODNEITFC	12				https://platform.toloka.ai/task/41565705/00027a3e09--6516f812e4173738521e0ecd	00027a3e09--6516f36c15b13a5af6053978	00027a3e09--6516f812e4173738521e0ecd	00027a3e09--6516f812e4173738521e0ec5	55afaae2a778b0a81be24e7c39608745	APPROVED	2023-09-29T16:15:14.788	2023-09-29T16:16:13.324	2023-09-29T16:16:13.324	0.0290000000
XHEAPARXVBGSTXIMHZIAUCWTYPTKA	YAXYNWFTHWDYMITSOAOVFEBH	12				https://platform.toloka.ai/task/41565705/00027a3e09--6516f812e4173738521e0ecd	00027a3e09--6516f36d15b13a5af60539ad	00027a3e09--6516f812e4173738521e0ecd	00027a3e09--6516f812e4173738521e0ec5	55afaae2a778b0a81be24e7c39608745	APPROVED	2023-09-29T16:15:14.788	2023-09-29T16:16:13.324	2023-09-29T16:16:13.324	0.0290000000
NGFUX	NQGUX	4	4			https://platform.toloka.ai/task/41565705/00027a3e09--6516f812e4173738521e0ecd	00027a3e09--6516f3589ed8a304702aa85f	00027a3e09--6516f812e4173738521e0ecd	00027a3e09--6516f812e4173738521e0ec5	55afaae2a778b0a81be24e7c39608745	APPROVED	2023-09-29T16:15:14.788	2023-09-29T16:16:13.324	2023-09-29T16:16:13.324	0.0290000000
