INPUT:parentheses	OUTPUT:correct	GOLDEN:correct	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
[ ] [ ] [ ] [ ] [ ( ) { ( ) } ( ) ( ) ]	1				https://platform.toloka.ai/task/41554142/00027a10de--6516727102bac2165700487d	00027a10de--6515e7f4e6499645e520ca31	00027a10de--6516727102bac2165700487d	00027a10de--6516727102bac21657004879	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:45:05.102	2023-09-29T06:45:27.746	2023-09-29T06:45:27.746	0.0220000000
[ ) [ )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516727602bac216570049cc	00027a10de--6515e7f4e6499645e520ca7f	00027a10de--6516727602bac216570049cc	00027a10de--6516727602bac216570049c2	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:45:10.537	2023-09-29T06:45:23.559	2023-09-29T06:45:23.559	0.0220000000
( ) { } [ ] } [ ] { ( ) [ { } ] [ ] { }	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516727602bac216570049cc	00027a10de--6515e7e063c0d47637f1e0e7	00027a10de--6516727602bac216570049cc	00027a10de--6516727602bac216570049c2	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:45:10.537	2023-09-29T06:45:23.559	2023-09-29T06:45:23.559	0.0220000000
[ { [ }	0				https://platform.toloka.ai/task/41554142/00027a10de--6516727602bac216570049cc	00027a10de--6515e7f4e6499645e520cac0	00027a10de--6516727602bac216570049cc	00027a10de--6516727602bac216570049c2	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:45:10.537	2023-09-29T06:45:23.559	2023-09-29T06:45:23.559	0.0220000000
[ ] ( [ } ] ] { ) { } ( } ) ) { { ( [ )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516727b15b13a5af6e98a17	00027a10de--6515e7f4e6499645e520ca7b	00027a10de--6516727b15b13a5af6e98a17	00027a10de--6516727b15b13a5af6e98a15	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:45:15.538	2023-09-29T06:45:51.357	2023-09-29T06:45:51.357	0.0190000000
[ ] [ ] [ ] [ ] [ ( ) { ( ) } ( ) ( ) ]	1				https://platform.toloka.ai/task/41554142/00027a10de--6516727b15b13a5af6e98a17	00027a10de--6515e7f4e6499645e520ca31	00027a10de--6516727b15b13a5af6e98a17	00027a10de--6516727b15b13a5af6e98a15	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:45:15.538	2023-09-29T06:45:51.357	2023-09-29T06:45:51.357	0.0190000000
[ ) [ ( ) ] ( ( [ ] ) [ ] ) ( [ ( ) ] )	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516727b15b13a5af6e98a17	00027a10de--6515e7e063c0d47637f1e0e1	00027a10de--6516727b15b13a5af6e98a17	00027a10de--6516727b15b13a5af6e98a15	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:45:15.538	2023-09-29T06:45:51.357	2023-09-29T06:45:51.357	0.0190000000
[ ] [ ] [ ] [ ] { ( ) } { ( ) ( { } ) }	1				https://platform.toloka.ai/task/41554142/00027a10de--65167289827c067dd016589c	00027a10de--6515e7f4e6499645e520ca23	00027a10de--65167289827c067dd016589c	00027a10de--65167289827c067dd0165897	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:45:29.616	2023-09-29T06:45:55.007	2023-09-29T06:45:55.007	0.0220000000
[ ( ( ( [ ] ) ] [ ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--65167289827c067dd016589c	00027a10de--6515e7e063c0d47637f1e0f3	00027a10de--65167289827c067dd016589c	00027a10de--65167289827c067dd0165897	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:45:29.616	2023-09-29T06:45:55.007	2023-09-29T06:45:55.007	0.0220000000
{ { } [ ] } ( )	1				https://platform.toloka.ai/task/41554142/00027a10de--65167289827c067dd016589c	00027a10de--6515e7f4e6499645e520ca8f	00027a10de--65167289827c067dd016589c	00027a10de--65167289827c067dd0165897	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:45:29.616	2023-09-29T06:45:55.007	2023-09-29T06:45:55.007	0.0220000000
[ ] ( [ } ] ] { ) { } ( } ) ) { { ( [ )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516728e495d233df31e4042	00027a10de--6515e7f4e6499645e520ca7b	00027a10de--6516728e495d233df31e4042	00027a10de--6516728e495d233df31e403f	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:45:34.909	2023-09-29T06:48:04.104	2023-09-29T06:48:04.104	0.0220000000
[ ] ( { } ( ) ) [ ] [ { ( ) [ ] ( ) } ]	1	1			https://platform.toloka.ai/task/41554142/00027a10de--6516728e495d233df31e4042	00027a10de--6515e7e063c0d47637f1e114	00027a10de--6516728e495d233df31e4042	00027a10de--6516728e495d233df31e403f	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:45:34.909	2023-09-29T06:48:04.104	2023-09-29T06:48:04.104	0.0220000000
{ { } [ ) ( [ ) ) ] ] }	0				https://platform.toloka.ai/task/41554142/00027a10de--6516728e495d233df31e4042	00027a10de--6515e7f4e6499645e520ca25	00027a10de--6516728e495d233df31e4042	00027a10de--6516728e495d233df31e403f	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:45:34.909	2023-09-29T06:48:04.104	2023-09-29T06:48:04.104	0.0220000000
( ] } ]	0				https://platform.toloka.ai/task/41554142/00027a10de--6516729202bac216570050b2	00027a10de--6515e7f4e6499645e520caa6	00027a10de--6516729202bac216570050b2	00027a10de--6516729202bac2165700509e	cd07be20e857e07cde5cce14ead65727	APPROVED	2023-09-29T06:45:38.690	2023-09-29T06:46:05.192	2023-09-29T06:46:05.192	0.0190000000
[ ( } ) ) ] { [ ] ( { { [ ( ] } } ) ) {	0				https://platform.toloka.ai/task/41554142/00027a10de--6516729202bac216570050b2	00027a10de--6515e7f4e6499645e520ca19	00027a10de--6516729202bac216570050b2	00027a10de--6516729202bac2165700509e	cd07be20e857e07cde5cce14ead65727	APPROVED	2023-09-29T06:45:38.690	2023-09-29T06:46:05.192	2023-09-29T06:46:05.192	0.0190000000
( ) ( ( ) [ ( ) ] ( ) ) [ { ( ) { } } ]	0	1			https://platform.toloka.ai/task/41554142/00027a10de--6516729202bac216570050b2	00027a10de--6515e7e063c0d47637f1e0e5	00027a10de--6516729202bac216570050b2	00027a10de--6516729202bac2165700509e	cd07be20e857e07cde5cce14ead65727	APPROVED	2023-09-29T06:45:38.690	2023-09-29T06:46:05.192	2023-09-29T06:46:05.192	0.0190000000
[ { } { { { } { { ( ( ( ) ) ) } } } } ]	1	1			https://platform.toloka.ai/task/41554142/00027a10de--651672a00ab55c42a0bc8889	00027a10de--6515e7e063c0d47637f1e104	00027a10de--651672a00ab55c42a0bc8889	00027a10de--651672a00ab55c42a0bc8884	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:45:52.935	2023-09-29T06:47:14.039	2023-09-29T06:47:14.039	0.0190000000
[ ( } ) ) ] { [ ] ( { { [ ( ] } } ) ) {	0				https://platform.toloka.ai/task/41554142/00027a10de--651672a00ab55c42a0bc8889	00027a10de--6515e7f4e6499645e520ca19	00027a10de--651672a00ab55c42a0bc8889	00027a10de--651672a00ab55c42a0bc8884	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:45:52.935	2023-09-29T06:47:14.039	2023-09-29T06:47:14.039	0.0190000000
[ ) [ )	0				https://platform.toloka.ai/task/41554142/00027a10de--651672a00ab55c42a0bc8889	00027a10de--6515e7f4e6499645e520ca7f	00027a10de--651672a00ab55c42a0bc8889	00027a10de--651672a00ab55c42a0bc8884	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:45:52.935	2023-09-29T06:47:14.039	2023-09-29T06:47:14.039	0.0190000000
[ ] ( [ } ] ] { ) { } ( } ) ) { { ( [ )	0				https://platform.toloka.ai/task/41554142/00027a10de--651672a402bac216570054bc	00027a10de--6515e7f4e6499645e520ca7b	00027a10de--651672a402bac216570054bc	00027a10de--651672a402bac216570054ba	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:45:56.623	2023-09-29T06:46:25.913	2023-09-29T06:46:25.913	0.0220000000
{ [ ] } [ ] ( ) { ( ) }	1				https://platform.toloka.ai/task/41554142/00027a10de--651672a402bac216570054bc	00027a10de--6515e7f4e6499645e520ca7d	00027a10de--651672a402bac216570054bc	00027a10de--651672a402bac216570054ba	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:45:56.623	2023-09-29T06:46:25.913	2023-09-29T06:46:25.913	0.0220000000
} [ ] {	0	0			https://platform.toloka.ai/task/41554142/00027a10de--651672a402bac216570054bc	00027a10de--6515e7e063c0d47637f1e0f1	00027a10de--651672a402bac216570054bc	00027a10de--651672a402bac216570054ba	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:45:56.623	2023-09-29T06:46:25.913	2023-09-29T06:46:25.913	0.0220000000
[ { [ }	0				https://platform.toloka.ai/task/41554142/00027a10de--651672aebded9655b662be45	00027a10de--6515e7f4e6499645e520cac0	00027a10de--651672aebded9655b662be45	00027a10de--651672aebded9655b662be42	cd07be20e857e07cde5cce14ead65727	APPROVED	2023-09-29T06:46:06.716	2023-09-29T06:46:31.293	2023-09-29T06:46:31.293	0.0190000000
{ { ( ] [ } ) ] ( } } ) [ { ) ( ) ] { [	0				https://platform.toloka.ai/task/41554142/00027a10de--651672aebded9655b662be45	00027a10de--6515e7f4e6499645e520ca39	00027a10de--651672aebded9655b662be45	00027a10de--651672aebded9655b662be42	cd07be20e857e07cde5cce14ead65727	APPROVED	2023-09-29T06:46:06.716	2023-09-29T06:46:31.293	2023-09-29T06:46:31.293	0.0190000000
( ) [ } [ [ } { } ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--651672aebded9655b662be45	00027a10de--6515e7e063c0d47637f1e0e3	00027a10de--651672aebded9655b662be45	00027a10de--651672aebded9655b662be42	cd07be20e857e07cde5cce14ead65727	APPROVED	2023-09-29T06:46:06.716	2023-09-29T06:46:31.293	2023-09-29T06:46:31.293	0.0190000000
( ( ( ) ( ) ) ) { [ ] } { } { [ ] { } }	1	1			https://platform.toloka.ai/task/41554142/00027a10de--651672c24dc98f156e8fea2b	00027a10de--6515e7e063c0d47637f1e0eb	00027a10de--651672c24dc98f156e8fea2b	00027a10de--651672c24dc98f156e8fea28	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:46:26.221	2023-09-29T06:46:58.041	2023-09-29T06:46:58.041	0.0190000000
[ ( } ) ) ] { [ ] ( { { [ ( ] } } ) ) {	0				https://platform.toloka.ai/task/41554142/00027a10de--651672c24dc98f156e8fea2b	00027a10de--6515e7f4e6499645e520ca19	00027a10de--651672c24dc98f156e8fea2b	00027a10de--651672c24dc98f156e8fea28	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:46:26.221	2023-09-29T06:46:58.041	2023-09-29T06:46:58.041	0.0190000000
) ) { ] [ { { } [ ) ) (	0				https://platform.toloka.ai/task/41554142/00027a10de--651672c24dc98f156e8fea2b	00027a10de--6515e7f4e6499645e520ca2d	00027a10de--651672c24dc98f156e8fea2b	00027a10de--651672c24dc98f156e8fea28	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:46:26.221	2023-09-29T06:46:58.041	2023-09-29T06:46:58.041	0.0190000000
{ { } [ ) ( [ ) ) ] ] }	0				https://platform.toloka.ai/task/41554142/00027a10de--651672c302bac21657005f07	00027a10de--6515e7f4e6499645e520ca25	00027a10de--651672c302bac21657005f07	00027a10de--651672c302bac21657005f04	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:46:27.565	2023-09-29T06:47:00.883	2023-09-29T06:47:00.883	0.0220000000
( ) { } [ ] [ [ ] ( { { } } ) ] ( ) ( )	1	1			https://platform.toloka.ai/task/41554142/00027a10de--651672c302bac21657005f07	00027a10de--6515e7e063c0d47637f1e0ed	00027a10de--651672c302bac21657005f07	00027a10de--651672c302bac21657005f04	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:46:27.565	2023-09-29T06:47:00.883	2023-09-29T06:47:00.883	0.0220000000
{ { ( ] [ } ) ] ( } } ) [ { ) ( ) ] { [	0				https://platform.toloka.ai/task/41554142/00027a10de--651672c302bac21657005f07	00027a10de--6515e7f4e6499645e520ca39	00027a10de--651672c302bac21657005f07	00027a10de--651672c302bac21657005f04	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:46:27.565	2023-09-29T06:47:00.883	2023-09-29T06:47:00.883	0.0220000000
[ ] [ ] [ ] [ ] [ ( ) { ( ) } ( ) ( ) ]	1				https://platform.toloka.ai/task/41554142/00027a10de--651672c89ed8a304700c1e1e	00027a10de--6515e7f4e6499645e520ca31	00027a10de--651672c89ed8a304700c1e1e	00027a10de--651672c89ed8a304700c1e1c	cd07be20e857e07cde5cce14ead65727	APPROVED	2023-09-29T06:46:32.884	2023-09-29T06:46:48.284	2023-09-29T06:46:48.284	0.0190000000
{ [ ] } [ ] ( ) { ( ) }	1				https://platform.toloka.ai/task/41554142/00027a10de--651672c89ed8a304700c1e1e	00027a10de--6515e7f4e6499645e520ca7d	00027a10de--651672c89ed8a304700c1e1e	00027a10de--651672c89ed8a304700c1e1c	cd07be20e857e07cde5cce14ead65727	APPROVED	2023-09-29T06:46:32.884	2023-09-29T06:46:48.284	2023-09-29T06:46:48.284	0.0190000000
} [ ] {	1	0			https://platform.toloka.ai/task/41554142/00027a10de--651672c89ed8a304700c1e1e	00027a10de--6515e7e063c0d47637f1e0f1	00027a10de--651672c89ed8a304700c1e1e	00027a10de--651672c89ed8a304700c1e1c	cd07be20e857e07cde5cce14ead65727	APPROVED	2023-09-29T06:46:32.884	2023-09-29T06:46:48.284	2023-09-29T06:46:48.284	0.0190000000
{ [ ] } [ ] ( ) { ( ) }	1				https://platform.toloka.ai/task/41554142/00027a10de--651672e30ab55c42a0bc96b2	00027a10de--6515e7f4e6499645e520ca7d	00027a10de--651672e30ab55c42a0bc96b2	00027a10de--651672e30ab55c42a0bc96ac	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:46:59.490	2023-09-29T06:48:11.353	2023-09-29T06:48:11.353	0.0190000000
[ { } { { { } { { ( ( ( ) ) ) } } } } ]	1	1			https://platform.toloka.ai/task/41554142/00027a10de--651672e30ab55c42a0bc96b2	00027a10de--6515e7e063c0d47637f1e104	00027a10de--651672e30ab55c42a0bc96b2	00027a10de--651672e30ab55c42a0bc96ac	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:46:59.490	2023-09-29T06:48:11.353	2023-09-29T06:48:11.353	0.0190000000
[ ) [ )	0				https://platform.toloka.ai/task/41554142/00027a10de--651672e30ab55c42a0bc96b2	00027a10de--6515e7f4e6499645e520ca7f	00027a10de--651672e30ab55c42a0bc96b2	00027a10de--651672e30ab55c42a0bc96ac	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:46:59.490	2023-09-29T06:48:11.353	2023-09-29T06:48:11.353	0.0190000000
) ( ) ( { } [ } ) [	0	0			https://platform.toloka.ai/task/41554142/00027a10de--651672e40ab55c42a0bc96d2	00027a10de--6515e7e063c0d47637f1e101	00027a10de--651672e40ab55c42a0bc96d2	00027a10de--651672e40ab55c42a0bc96cd	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:47:00.089	2023-09-29T06:47:38.959	2023-09-29T06:47:38.959	0.0190000000
[ ] [ ] [ ] [ ] [ ( ) { ( ) } ( ) ( ) ]	1				https://platform.toloka.ai/task/41554142/00027a10de--651672e40ab55c42a0bc96d2	00027a10de--6515e7f4e6499645e520ca31	00027a10de--651672e40ab55c42a0bc96d2	00027a10de--651672e40ab55c42a0bc96cd	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:47:00.089	2023-09-29T06:47:38.959	2023-09-29T06:47:38.959	0.0190000000
) ) { ] [ { { } [ ) ) (	0				https://platform.toloka.ai/task/41554142/00027a10de--651672e40ab55c42a0bc96d2	00027a10de--6515e7f4e6499645e520ca2d	00027a10de--651672e40ab55c42a0bc96d2	00027a10de--651672e40ab55c42a0bc96cd	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:47:00.089	2023-09-29T06:47:38.959	2023-09-29T06:47:38.959	0.0190000000
[ ] { ( ) { } }	1				https://platform.toloka.ai/task/41554142/00027a10de--651672e6bded9655b662cac7	00027a10de--6515e7f4e6499645e520ca6b	00027a10de--651672e6bded9655b662cac7	00027a10de--651672e6bded9655b662cac4	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:47:02.423	2023-09-29T06:47:20.215	2023-09-29T06:47:20.215	0.0220000000
( ) { } [ ] } [ ] { ( ) [ { } ] [ ] { }	0	0			https://platform.toloka.ai/task/41554142/00027a10de--651672e6bded9655b662cac7	00027a10de--6515e7e063c0d47637f1e0e7	00027a10de--651672e6bded9655b662cac7	00027a10de--651672e6bded9655b662cac4	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:47:02.423	2023-09-29T06:47:20.215	2023-09-29T06:47:20.215	0.0220000000
{ ( ) [ { } ] }	1				https://platform.toloka.ai/task/41554142/00027a10de--651672e6bded9655b662cac7	00027a10de--6515e7f4e6499645e520ca64	00027a10de--651672e6bded9655b662cac7	00027a10de--651672e6bded9655b662cac4	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:47:02.423	2023-09-29T06:47:20.215	2023-09-29T06:47:20.215	0.0220000000
) ) { ] [ { { } [ ) ) (	0				https://platform.toloka.ai/task/41554142/00027a10de--651672f3e417373852fae0ea	00027a10de--6515e7f4e6499645e520ca2d	00027a10de--651672f3e417373852fae0ea	00027a10de--651672f3e417373852fae0e6	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:47:15.665	2023-09-29T06:47:42.248	2023-09-29T06:47:42.248	0.0190000000
( [ ] [ ( { } ) ( ) ] { { } ( ) ( ) } )	1	1			https://platform.toloka.ai/task/41554142/00027a10de--651672f3e417373852fae0ea	00027a10de--6515e7e063c0d47637f1e0e9	00027a10de--651672f3e417373852fae0ea	00027a10de--651672f3e417373852fae0e6	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:47:15.665	2023-09-29T06:47:42.248	2023-09-29T06:47:42.248	0.0190000000
) { ( { [ ) { ] ) { ( ]	0				https://platform.toloka.ai/task/41554142/00027a10de--651672f3e417373852fae0ea	00027a10de--6515e7f4e6499645e520ca47	00027a10de--651672f3e417373852fae0ea	00027a10de--651672f3e417373852fae0e6	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:47:15.665	2023-09-29T06:47:42.248	2023-09-29T06:47:42.248	0.0190000000
) { ( { [ ) { ] ) { ( ]	0				https://platform.toloka.ai/task/41554142/00027a10de--651672f94dc98f156e8ffdf0	00027a10de--6515e7f4e6499645e520ca47	00027a10de--651672f94dc98f156e8ffdf0	00027a10de--651672f94dc98f156e8ffdec	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:47:21.994	2023-09-29T06:47:44.491	2023-09-29T06:47:44.491	0.0220000000
( ) ( ( [ ( { [ } [ ( ) [ ] } } ) ] ) )	0	0			https://platform.toloka.ai/task/41554142/00027a10de--651672f94dc98f156e8ffdf0	00027a10de--6515e7e063c0d47637f1e0f7	00027a10de--651672f94dc98f156e8ffdf0	00027a10de--651672f94dc98f156e8ffdec	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:47:21.994	2023-09-29T06:47:44.491	2023-09-29T06:47:44.491	0.0220000000
( {	0				https://platform.toloka.ai/task/41554142/00027a10de--651672f94dc98f156e8ffdf0	00027a10de--6515e7f4e6499645e520ca1b	00027a10de--651672f94dc98f156e8ffdf0	00027a10de--651672f94dc98f156e8ffdec	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:47:21.994	2023-09-29T06:47:44.491	2023-09-29T06:47:44.491	0.0220000000
{ { } [ ) ( [ ) ) ] ] }	0				https://platform.toloka.ai/task/41554142/00027a10de--6516730c4dc98f156e90029f	00027a10de--6515e7f4e6499645e520ca25	00027a10de--6516730c4dc98f156e90029f	00027a10de--6516730c4dc98f156e900298	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:47:40.443	2023-09-29T06:48:30.117	2023-09-29T06:48:30.117	0.0190000000
[ ] ( [ } ] ] { ) { } ( } ) ) { { ( [ )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516730c4dc98f156e90029f	00027a10de--6515e7f4e6499645e520ca7b	00027a10de--6516730c4dc98f156e90029f	00027a10de--6516730c4dc98f156e900298	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:47:40.443	2023-09-29T06:48:30.117	2023-09-29T06:48:30.117	0.0190000000
{ ] { ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516730c4dc98f156e90029f	00027a10de--6515e7e063c0d47637f1e106	00027a10de--6516730c4dc98f156e90029f	00027a10de--6516730c4dc98f156e900298	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:47:40.443	2023-09-29T06:48:30.117	2023-09-29T06:48:30.117	0.0190000000
