INPUT:formula	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
((-6) + 9 * (-4) - (-8))	-34				https://platform.toloka.ai/task/41562232/00027a3078--6516c31202bac216571309f2	00027a3078--6516b2ee056db464d2cd5f04	00027a3078--6516c31202bac216571309f2	00027a3078--6516c31202bac216571309dd	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:29:06.825	2023-09-29T12:29:35.008	2023-09-29T12:29:35.008	0.0220000000
(9 * 8 - 2 - 3)	67				https://platform.toloka.ai/task/41562232/00027a3078--6516c31202bac216571309f2	00027a3078--6516b2ee056db464d2cd5ebb	00027a3078--6516c31202bac216571309f2	00027a3078--6516c31202bac216571309dd	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:29:06.825	2023-09-29T12:29:35.008	2023-09-29T12:29:35.008	0.0220000000
(((3 * 2 - 8 - 2) + (2 + 1 + 8 - (-7))) + ((4 + 7 + (-2) + (-5)) + ((-7) * (-1) - 8 + (-8))))	9	9			https://platform.toloka.ai/task/41562232/00027a3078--6516c31202bac216571309f2	00027a3078--6516b2c9f9fa01475aa9b77c	00027a3078--6516c31202bac216571309f2	00027a3078--6516c31202bac216571309dd	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:29:06.825	2023-09-29T12:29:35.008	2023-09-29T12:29:35.008	0.0220000000
(1 * 3 - (-4))	7	7			https://platform.toloka.ai/task/41562232/00027a3078--6516c32917aed1610ef3567e	00027a3078--6516b2c9f9fa01475aa9b776	00027a3078--6516c32917aed1610ef3567e	00027a3078--6516c32917aed1610ef3566b	777a76c833da08c4ee7918ab14641264	APPROVED	2023-09-29T12:29:29.652	2023-09-29T12:31:10.765	2023-09-29T12:31:10.765	0.0220000000
(((3 * 2) * (0 + (-4))) * (((-3) - (-9)) + (1 * (-5))))	-24				https://platform.toloka.ai/task/41562232/00027a3078--6516c32917aed1610ef3567e	00027a3078--6516b2eb056db464d2cd5998	00027a3078--6516c32917aed1610ef3567e	00027a3078--6516c32917aed1610ef3566b	777a76c833da08c4ee7918ab14641264	APPROVED	2023-09-29T12:29:29.652	2023-09-29T12:31:10.765	2023-09-29T12:31:10.765	0.0220000000
(((4 - 4) - (2 - (-1))) * ((6 - 1) - (7 - 8)))	-18				https://platform.toloka.ai/task/41562232/00027a3078--6516c32917aed1610ef3567e	00027a3078--6516b2eb056db464d2cd599c	00027a3078--6516c32917aed1610ef3567e	00027a3078--6516c32917aed1610ef3566b	777a76c833da08c4ee7918ab14641264	APPROVED	2023-09-29T12:29:29.652	2023-09-29T12:31:10.765	2023-09-29T12:31:10.765	0.0220000000
((((-5) + 3) / (1 + (-2))) + ((9 * (-4)) * ((-4) * 1)))	146				https://platform.toloka.ai/task/41562232/00027a3078--6516c33002bac21657130fa2	00027a3078--6516b2eb056db464d2cd596a	00027a3078--6516c33002bac21657130fa2	00027a3078--6516c33002bac21657130fa0	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:29:36.620	2023-09-29T12:30:46.825	2023-09-29T12:30:46.825	0.0220000000
((4 * (-3) + 6) + (0 - (-7) + 1))	2	2			https://platform.toloka.ai/task/41562232/00027a3078--6516c33002bac21657130fa2	00027a3078--6516b2c9f9fa01475aa9b78c	00027a3078--6516c33002bac21657130fa2	00027a3078--6516c33002bac21657130fa0	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:29:36.620	2023-09-29T12:30:46.825	2023-09-29T12:30:46.825	0.0220000000
((((3 / 1 + (-4)) * (3 * 3 * 5)) + (((-7) - (-9) * (-1)) / (1 / (-7) - 5))) - ((((-1) / 3 - (-9)) / (9 - (-5) - 4)) - ((3 / (-9) - 6) * ((-1) * (-8) - 4))))	-68				https://platform.toloka.ai/task/41562232/00027a3078--6516c33002bac21657130fa2	00027a3078--6516b2eb056db464d2cd57aa	00027a3078--6516c33002bac21657130fa2	00027a3078--6516c33002bac21657130fa0	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:29:36.620	2023-09-29T12:30:46.825	2023-09-29T12:30:46.825	0.0220000000
(((-6) - (-1)) + (4 + 8))	7				https://platform.toloka.ai/task/41562232/00027a3078--6516c349827c067dd0291f43	00027a3078--6516b2ec056db464d2cd5b69	00027a3078--6516c349827c067dd0291f43	00027a3078--6516c349827c067dd0291f3e	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:30:01.384	2023-09-29T12:35:04.867	2023-09-29T12:35:04.867	0.0220000000
((((9 + 3 + (-9) - (-7)) + ((-5) + (-4) + 7 * 7)) * (((-9) * 6 + 6 * 4) + (3 * (-2) + 5 - (-3)))) + (((9 + (-1) * 0 - 6) * ((-2) + 2 * (-8) - 2)) * ((7 + 0 - 8 - (-8)) - ((-2) * 0 * 4 - 5))))	142	-2120			https://platform.toloka.ai/task/41562232/00027a3078--6516c349827c067dd0291f43	00027a3078--6516b2c9f9fa01475aa9b778	00027a3078--6516c349827c067dd0291f43	00027a3078--6516c349827c067dd0291f3e	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:30:01.384	2023-09-29T12:35:04.867	2023-09-29T12:35:04.867	0.0220000000
(((7 - (-9)) - (3 + (-4))) + (((-1) + 6) - (1 + 4)))	17				https://platform.toloka.ai/task/41562232/00027a3078--6516c349827c067dd0291f43	00027a3078--6516b2eb056db464d2cd5977	00027a3078--6516c349827c067dd0291f43	00027a3078--6516c349827c067dd0291f3e	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:30:01.384	2023-09-29T12:35:04.867	2023-09-29T12:35:04.867	0.0220000000
(((-2) - 8) - (2 + 7))	-19				https://platform.toloka.ai/task/41562232/00027a3078--6516c3820ab55c42a0ce8031	00027a3078--6516b2ec056db464d2cd5b9f	00027a3078--6516c3820ab55c42a0ce8031	00027a3078--6516c3820ab55c42a0ce8008	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:30:58.315	2023-09-29T12:31:25.628	2023-09-29T12:31:25.628	0.0220000000
((((0 * 1) * (0 * (-7))) - (((-7) - 1) - (8 + 5))) * (((0 + 0) + (5 * 8)) * (((-6) + (-7)) + ((-8) + 5))))	-13440	-13440			https://platform.toloka.ai/task/41562232/00027a3078--6516c3820ab55c42a0ce8031	00027a3078--6516b2c9f9fa01475aa9b76f	00027a3078--6516c3820ab55c42a0ce8031	00027a3078--6516c3820ab55c42a0ce8008	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:30:58.315	2023-09-29T12:31:25.628	2023-09-29T12:31:25.628	0.0220000000
((((-4) * (-1)) + ((-1) - 6)) - ((0 - (-2)) * (1 - 8)))	11				https://platform.toloka.ai/task/41562232/00027a3078--6516c3820ab55c42a0ce8031	00027a3078--6516b2eb056db464d2cd59ac	00027a3078--6516c3820ab55c42a0ce8031	00027a3078--6516c3820ab55c42a0ce8008	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:30:58.315	2023-09-29T12:31:25.628	2023-09-29T12:31:25.628	0.0220000000
((2 * (-2)) - (7 + (-2)))	-9	-9			https://platform.toloka.ai/task/41562232/00027a3078--6516c3904dc98f156ea4805a	00027a3078--6516b2c9f9fa01475aa9b77a	00027a3078--6516c3904dc98f156ea4805a	00027a3078--6516c3904dc98f156ea48058	777a76c833da08c4ee7918ab14641264	APPROVED	2023-09-29T12:31:12.403	2023-09-29T12:34:23.546	2023-09-29T12:34:23.546	0.0220000000
(((-6) - (-1)) + (4 + 8))	7				https://platform.toloka.ai/task/41562232/00027a3078--6516c3904dc98f156ea4805a	00027a3078--6516b2ec056db464d2cd5b69	00027a3078--6516c3904dc98f156ea4805a	00027a3078--6516c3904dc98f156ea48058	777a76c833da08c4ee7918ab14641264	APPROVED	2023-09-29T12:31:12.403	2023-09-29T12:34:23.546	2023-09-29T12:34:23.546	0.0220000000
((((2 - 2 + 9) - (1 * (-9) + 1)) - ((9 + 0 - 8) - ((-4) * 6 + (-6)))) + ((((-2) / (-1) + (-2)) / ((-1) / (-1) - 4)) + (((-1) + (-5) + (-7)) * (9 + (-9) + (-3)))))	25				https://platform.toloka.ai/task/41562232/00027a3078--6516c3904dc98f156ea4805a	00027a3078--6516b2eb056db464d2cd57fa	00027a3078--6516c3904dc98f156ea4805a	00027a3078--6516c3904dc98f156ea48058	777a76c833da08c4ee7918ab14641264	APPROVED	2023-09-29T12:31:12.403	2023-09-29T12:34:23.546	2023-09-29T12:34:23.546	0.0220000000
(4 - 7)	-3				https://platform.toloka.ai/task/41562232/00027a3078--6516c3a2e417373852122a78	00027a3078--6516b2ed056db464d2cd5d43	00027a3078--6516c3a2e417373852122a78	00027a3078--6516c3a2e417373852122a76	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:31:30.535	2023-09-29T12:31:57.695	2023-09-29T12:31:57.695	0.0220000000
((-8) + (-6) - 8)	-22				https://platform.toloka.ai/task/41562232/00027a3078--6516c3a2e417373852122a78	00027a3078--6516b2ee056db464d2cd5e31	00027a3078--6516c3a2e417373852122a78	00027a3078--6516c3a2e417373852122a76	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:31:30.535	2023-09-29T12:31:57.695	2023-09-29T12:31:57.695	0.0220000000
((((7 - (-4)) * (0 * (-3))) * (((-8) * 2) * (2 - (-7)))) - ((((-5) * (-7)) * ((-5) - 1)) * ((3 + (-2)) - ((-8) - 9))))	3780	3780			https://platform.toloka.ai/task/41562232/00027a3078--6516c3a2e417373852122a78	00027a3078--6516b2c9f9fa01475aa9b7a2	00027a3078--6516c3a2e417373852122a78	00027a3078--6516c3a2e417373852122a76	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:31:30.535	2023-09-29T12:31:57.695	2023-09-29T12:31:57.695	0.0220000000
((((8 / (-5) * (-3) * 1) * ((-6) / (-8) - (-1) - (-2))) - (((-4) * 7 + 3 + 3) * (2 * (-5) + (-4) + (-7)))) + ((((-6) / (-4) / (-2) * (-3)) / (6 + 0 + 8 + (-3))) + ((9 - (-1) + 7 - (-6)) * (5 + 5 / 1 + 8))))	-30				https://platform.toloka.ai/task/41562232/00027a3078--6516c3bf4dc98f156ea48cf2	00027a3078--6516b2eb056db464d2cd58d6	00027a3078--6516c3bf4dc98f156ea48cf2	00027a3078--6516c3bf4dc98f156ea48cef	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:31:59.365	2023-09-29T12:32:49.884	2023-09-29T12:32:49.884	0.0220000000
((((-2) + 6 / 1) / (2 - (-8) + 2)) - (((-7) * (-4) - 8) + ((-3) * (-8) + (-9))))	-35				https://platform.toloka.ai/task/41562232/00027a3078--6516c3bf4dc98f156ea48cf2	00027a3078--6516b2ec056db464d2cd5a05	00027a3078--6516c3bf4dc98f156ea48cf2	00027a3078--6516c3bf4dc98f156ea48cef	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:31:59.365	2023-09-29T12:32:49.884	2023-09-29T12:32:49.884	0.0220000000
(((((-6) * 3 - 2) * (5 - (-1) + (-1))) + ((0 * 6 - 3) + (3 + (-2) * 3))) * (((3 * (-5) - (-4)) - ((-5) + (-5) + 3)) * (((-2) + 9 * 5) - (0 * (-5) + 1))))	17808	17808			https://platform.toloka.ai/task/41562232/00027a3078--6516c3bf4dc98f156ea48cf2	00027a3078--6516b2c9f9fa01475aa9b786	00027a3078--6516c3bf4dc98f156ea48cf2	00027a3078--6516c3bf4dc98f156ea48cef	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:31:59.365	2023-09-29T12:32:49.884	2023-09-29T12:32:49.884	0.0220000000
(((-7) - 8 - 8) * ((-1) + 5 - 8))	92				https://platform.toloka.ai/task/41562232/00027a3078--6516c3f32d0529346bdd0fc8	00027a3078--6516b2ec056db464d2cd5bb2	00027a3078--6516c3f32d0529346bdd0fc8	00027a3078--6516c3f32d0529346bdd0fc5	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:32:51.427	2023-09-29T12:33:12.260	2023-09-29T12:33:12.260	0.0220000000
(0 * 2 + 3)	3	3			https://platform.toloka.ai/task/41562232/00027a3078--6516c3f32d0529346bdd0fc8	00027a3078--6516b2c9f9fa01475aa9b77e	00027a3078--6516c3f32d0529346bdd0fc8	00027a3078--6516c3f32d0529346bdd0fc5	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:32:51.427	2023-09-29T12:33:12.260	2023-09-29T12:33:12.260	0.0220000000
(((3 * 2) * (0 + (-4))) * (((-3) - (-9)) + (1 * (-5))))	-24				https://platform.toloka.ai/task/41562232/00027a3078--6516c3f32d0529346bdd0fc8	00027a3078--6516b2eb056db464d2cd5998	00027a3078--6516c3f32d0529346bdd0fc8	00027a3078--6516c3f32d0529346bdd0fc5	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:32:51.427	2023-09-29T12:33:12.260	2023-09-29T12:33:12.260	0.0220000000
((((-7) - 0) + ((-4) * 6)) * ((7 + 8) + ((-2) + 9)))	-682				https://platform.toloka.ai/task/41562232/00027a3078--6516c409495d233df3325366	00027a3078--6516b2eb056db464d2cd5954	00027a3078--6516c409495d233df3325366	00027a3078--6516c409495d233df3325364	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:33:13.803	2023-09-29T12:34:01.924	2023-09-29T12:34:01.924	0.0220000000
((-9) + 7 + (-6))	-8				https://platform.toloka.ai/task/41562232/00027a3078--6516c409495d233df3325366	00027a3078--6516b2ee056db464d2cd5e62	00027a3078--6516c409495d233df3325366	00027a3078--6516c409495d233df3325364	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:33:13.803	2023-09-29T12:34:01.924	2023-09-29T12:34:01.924	0.0220000000
((((9 + 3 + (-9) - (-7)) + ((-5) + (-4) + 7 * 7)) * (((-9) * 6 + 6 * 4) + (3 * (-2) + 5 - (-3)))) + (((9 + (-1) * 0 - 6) * ((-2) + 2 * (-8) - 2)) * ((7 + 0 - 8 - (-8)) - ((-2) * 0 * 4 - 5))))	-2120	-2120			https://platform.toloka.ai/task/41562232/00027a3078--6516c409495d233df3325366	00027a3078--6516b2c9f9fa01475aa9b778	00027a3078--6516c409495d233df3325366	00027a3078--6516c409495d233df3325364	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:33:13.803	2023-09-29T12:34:01.924	2023-09-29T12:34:01.924	0.0220000000
(((((-4) + 7 - (-2) + 5) + (7 - 7 * 6 + (-6))) + (((-9) + (-7) * 2 + 7) - (8 - 2 * (-9) + (-7)))) - (((3 * 6 * (-9) - (-2)) + ((-8) - (-9) + (-4) * 1)) + (((-6) - (-2) + 9 + 0) - (3 * 9 - (-2) - 3))))	118				https://platform.toloka.ai/task/41562232/00027a3078--6516c43b4dc98f156ea4a514	00027a3078--6516b2eb056db464d2cd5918	00027a3078--6516c43b4dc98f156ea4a514	00027a3078--6516c43b4dc98f156ea4a512	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:34:03.876	2023-09-29T12:36:58.885	2023-09-29T12:36:58.885	0.0220000000
(((9 - (-3)) - (6 * (-4))) * (((-1) + 3) + ((-2) + 3)))	108	108			https://platform.toloka.ai/task/41562232/00027a3078--6516c43b4dc98f156ea4a514	00027a3078--6516b2c9f9fa01475aa9b78a	00027a3078--6516c43b4dc98f156ea4a514	00027a3078--6516c43b4dc98f156ea4a512	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:34:03.876	2023-09-29T12:36:58.885	2023-09-29T12:36:58.885	0.0220000000
(8 * 5 + (-5) * 3)	25				https://platform.toloka.ai/task/41562232/00027a3078--6516c43b4dc98f156ea4a514	00027a3078--6516b2ee056db464d2cd5eb0	00027a3078--6516c43b4dc98f156ea4a514	00027a3078--6516c43b4dc98f156ea4a512	4c4133aeef5b4ac1092c735ede3147ac	APPROVED	2023-09-29T12:34:03.876	2023-09-29T12:36:58.885	2023-09-29T12:36:58.885	0.0220000000
((((2 - 2 + 9) - (1 * (-9) + 1)) - ((9 + 0 - 8) - ((-4) * 6 + (-6)))) + ((((-2) / (-1) + (-2)) / ((-1) / (-1) - 4)) + (((-1) + (-5) + (-7)) * (9 + (-9) + (-3)))))	25				https://platform.toloka.ai/task/41562232/00027a3078--6516c47e94b89b3e3a626b88	00027a3078--6516b2eb056db464d2cd57fa	00027a3078--6516c47e94b89b3e3a626b88	00027a3078--6516c47e94b89b3e3a626b85	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:35:10.114	2023-09-29T12:36:20.505	2023-09-29T12:36:20.505	0.0190000000
((((2 + 5) * (0 + (-4))) * ((1 + (-4)) - (9 - (-3)))) - ((((-3) - 4) + ((-3) + (-7))) - (((-6) + (-8)) * ((-4) + 9))))	507				https://platform.toloka.ai/task/41562232/00027a3078--6516c47e94b89b3e3a626b88	00027a3078--6516b2eb056db464d2cd575f	00027a3078--6516c47e94b89b3e3a626b88	00027a3078--6516c47e94b89b3e3a626b85	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:35:10.114	2023-09-29T12:36:20.505	2023-09-29T12:36:20.505	0.0190000000
(1 * 3 - (-4))	7	7			https://platform.toloka.ai/task/41562232/00027a3078--6516c47e94b89b3e3a626b88	00027a3078--6516b2c9f9fa01475aa9b776	00027a3078--6516c47e94b89b3e3a626b88	00027a3078--6516c47e94b89b3e3a626b85	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:35:10.114	2023-09-29T12:36:20.505	2023-09-29T12:36:20.505	0.0190000000
((((2 - 0) - (8 - 1)) - ((1 * (-4)) - ((-6) - (-4)))) + ((((-2) + 6) * (2 - (-3))) + ((4 * 6) - (6 + (-8)))))	43				https://platform.toloka.ai/task/41562232/00027a3078--6516c4c60ab55c42a0cec43f	00027a3078--6516b2eb056db464d2cd5749	00027a3078--6516c4c60ab55c42a0cec43f	00027a3078--6516c4c50ab55c42a0cec43a	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:36:22.016	2023-09-29T12:37:25.949	2023-09-29T12:37:25.949	0.0190000000
(((((-8) - 5) - ((-6) * (-1))) * ((3 * 2) * (3 * 4))) + (((3 * (-6)) + ((-2) * (-8))) * (((-2) + 3) * ((-1) + 4))))	-1374	-1374			https://platform.toloka.ai/task/41562232/00027a3078--6516c4c60ab55c42a0cec43f	00027a3078--6516b2c9f9fa01475aa9b790	00027a3078--6516c4c60ab55c42a0cec43f	00027a3078--6516c4c50ab55c42a0cec43a	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:36:22.016	2023-09-29T12:37:25.949	2023-09-29T12:37:25.949	0.0190000000
((-6) + 9 * (-4) - (-8))	-34				https://platform.toloka.ai/task/41562232/00027a3078--6516c4c60ab55c42a0cec43f	00027a3078--6516b2ee056db464d2cd5f04	00027a3078--6516c4c60ab55c42a0cec43f	00027a3078--6516c4c50ab55c42a0cec43a	da316067e04987f766f77a8e06e0acb0	APPROVED	2023-09-29T12:36:22.016	2023-09-29T12:37:25.949	2023-09-29T12:37:25.949	0.0190000000
((((-4) * (-1)) + ((-1) - 6)) - ((0 - (-2)) * (1 - 8)))	11				https://platform.toloka.ai/task/41562232/00027a3078--6516c4d60ab55c42a0cec79f	00027a3078--6516b2eb056db464d2cd59ac	00027a3078--6516c4d60ab55c42a0cec79f	00027a3078--6516c4d60ab55c42a0cec79c	21f3bdedd915ab667ee888b890508534	APPROVED	2023-09-29T12:36:38.973	2023-09-29T12:39:23.708	2023-09-29T12:39:23.708	0.0190000000
